,stock_name,price_day,price_chg,perc_chg,market_cap,circ_supply,volume
0,[],[],[],[],[],[],[]
1,['Bitcoin USD (BTC-USD)'],"['30,353.80']",['+422.28'],['(+1.41%)'],['587.201B'],['19.35M'],"['17,659,205,632']"
2,['Ethereum USD (ETH-USD)'],"['2,002.08']",['+92.69'],['(+4.85%)'],['241.167B'],['120.46M'],"['12,813,455,360']"
3,['BNB USD (BNB-USD)'],['336.06'],['+2.76'],['(+0.83%)'],['53.061B'],['157.89M'],"['891,697,600']"
4,[],[],[],[],[],[],[]
5,[],[],[],[],[],[],[]
6,[],[],[],[],[],[],[]
7,[],[],[],[],[],[],[]
8,[],[],[],[],[],[],[]
9,[],[],[],[],[],[],[]
10,[],[],[],[],[],[],[]
11,[],[],[],[],[],[],[]
12,[],[],[],[],[],[],[]
13,[],[],[],[],[],[],[]
14,[],[],[],[],[],[],[]
15,[],[],[],[],[],[],[]
16,['Shiba Inu USD (SHIB-USD)'],['0.000011'],['+0.000000'],['(+2.51%)'],['6.541B'],['589.54T'],"['190,200,208']"
17,['Litecoin USD (LTC-USD)'],['96.55'],['+5.98'],['(+6.60%)'],['7.017B'],['72.68M'],"['727,504,896']"
18,['Dogecoin USD (DOGE-USD)'],['0.087160'],['+0.004358'],['(+5.26%)'],['12.108B'],['138.92B'],"['819,265,792']"
19,['Polygon USD (MATIC-USD)'],['1.1775'],['-0.0076'],['(-0.64%)'],['10.284B'],['8.73B'],"['435,785,920']"
20,['Solana USD (SOL-USD)'],['23.23'],['+2.72'],['(+13.24%)'],['9.1B'],['391.70M'],"['954,285,440']"
21,['XRP USD (XRP-USD)'],['0.525358'],['+0.020195'],['(+4.00%)'],['27.155B'],['51.69B'],"['1,124,744,832']"
22,['TRON USD (TRX-USD)'],['0.063292'],['-0.004364'],['(-6.45%)'],['5.751B'],['90.87B'],"['407,066,464']"
23,['Cardano USD (ADA-USD)'],['0.412137'],['+0.016604'],['(+4.20%)'],['14.329B'],['34.77B'],"['434,769,248']"
24,['USD Coin USD (USDC-USD)'],['0.989897'],['+0.029661'],['(+3.09%)'],['40.636B'],['41.05B'],"['10,205,700,096']"
